item_id,style_src,style_tgt,split,X_path,Z_path,Y_path
train_000033,style_001973,style_001200,train,rolls/style_001200/train_000033_X.npz,rolls/style_001200/train_000033_Z.npz,rolls/style_001200/train_000033_Y.npz
train_000034,style_001047,style_002430,train,rolls/style_002430/train_000034_X.npz,rolls/style_002430/train_000034_Z.npz,rolls/style_002430/train_000034_Y.npz
train_000035,style_000859,style_002430,train,rolls/style_002430/train_000035_X.npz,rolls/style_002430/train_000035_Z.npz,rolls/style_002430/train_000035_Y.npz
train_000036,style_001571,style_002594,train,rolls/style_002594/train_000036_X.npz,rolls/style_002594/train_000036_Z.npz,rolls/style_002594/train_000036_Y.npz
train_000037,style_001383,style_002594,train,rolls/style_002594/train_000037_X.npz,rolls/style_002594/train_000037_Z.npz,rolls/style_002594/train_000037_Y.npz
train_000038,style_001249,style_000043,train,rolls/style_000043/train_000038_X.npz,rolls/style_000043/train_000038_Z.npz,rolls/style_000043/train_000038_Y.npz
train_000039,style_000448,style_000043,train,rolls/style_000043/train_000039_X.npz,rolls/style_000043/train_000039_Z.npz,rolls/style_000043/train_000039_Y.npz
train_000040,style_002756,style_002748,train,rolls/style_002748/train_000040_X.npz,rolls/style_002748/train_000040_Z.npz,rolls/style_002748/train_000040_Y.npz
train_000041,style_000991,style_002748,train,rolls/style_002748/train_000041_X.npz,rolls/style_002748/train_000041_Z.npz,rolls/style_002748/train_000041_Y.npz
train_000042,style_002702,style_000626,train,rolls/style_000626/train_000042_X.npz,rolls/style_000626/train_000042_Z.npz,rolls/style_000626/train_000042_Y.npz
train_000043,style_000806,style_000626,train,rolls/style_000626/train_000043_X.npz,rolls/style_000626/train_000043_Z.npz,rolls/style_000626/train_000043_Y.npz
train_000044,style_000635,style_001113,train,rolls/style_001113/train_000044_X.npz,rolls/style_001113/train_000044_Z.npz,rolls/style_001113/train_000044_Y.npz
train_000045,style_000827,style_001113,train,rolls/style_001113/train_000045_X.npz,rolls/style_001113/train_000045_Z.npz,rolls/style_001113/train_000045_Y.npz
train_000046,style_000274,style_002455,train,rolls/style_002455/train_000046_X.npz,rolls/style_002455/train_000046_Z.npz,rolls/style_002455/train_000046_Y.npz
train_000047,style_001969,style_002455,train,rolls/style_002455/train_000047_X.npz,rolls/style_002455/train_000047_Z.npz,rolls/style_002455/train_000047_Y.npz
train_000048,style_001403,style_001689,train,rolls/style_001689/train_000048_X.npz,rolls/style_001689/train_000048_Z.npz,rolls/style_001689/train_000048_Y.npz
train_000049,style_001927,style_001689,train,rolls/style_001689/train_000049_X.npz,rolls/style_001689/train_000049_Z.npz,rolls/style_001689/train_000049_Y.npz
train_000050,style_002465,style_000834,train,rolls/style_000834/train_000050_X.npz,rolls/style_000834/train_000050_Z.npz,rolls/style_000834/train_000050_Y.npz
train_000051,style_002733,style_000834,train,rolls/style_000834/train_000051_X.npz,rolls/style_000834/train_000051_Z.npz,rolls/style_000834/train_000051_Y.npz
train_000052,style_000875,style_001625,train,rolls/style_001625/train_000052_X.npz,rolls/style_001625/train_000052_Z.npz,rolls/style_001625/train_000052_Y.npz
train_000053,style_000615,style_001625,train,rolls/style_001625/train_000053_X.npz,rolls/style_001625/train_000053_Z.npz,rolls/style_001625/train_000053_Y.npz
train_000054,style_001460,style_002093,train,rolls/style_002093/train_000054_X.npz,rolls/style_002093/train_000054_Z.npz,rolls/style_002093/train_000054_Y.npz
train_000055,style_001115,style_002093,train,rolls/style_002093/train_000055_X.npz,rolls/style_002093/train_000055_Z.npz,rolls/style_002093/train_000055_Y.npz
train_000056,style_002136,style_000470,train,rolls/style_000470/train_000056_X.npz,rolls/style_000470/train_000056_Z.npz,rolls/style_000470/train_000056_Y.npz
train_000057,style_002174,style_000470,train,rolls/style_000470/train_000057_X.npz,rolls/style_000470/train_000057_Z.npz,rolls/style_000470/train_000057_Y.npz
train_000058,style_002426,style_002544,train,rolls/style_002544/train_000058_X.npz,rolls/style_002544/train_000058_Z.npz,rolls/style_002544/train_000058_Y.npz
train_000059,style_000571,style_002544,train,rolls/style_002544/train_000059_X.npz,rolls/style_002544/train_000059_Z.npz,rolls/style_002544/train_000059_Y.npz
train_000060,style_002516,style_001830,train,rolls/style_001830/train_000060_X.npz,rolls/style_001830/train_000060_Z.npz,rolls/style_001830/train_000060_Y.npz
train_000061,style_001054,style_001830,train,rolls/style_001830/train_000061_X.npz,rolls/style_001830/train_000061_Z.npz,rolls/style_001830/train_000061_Y.npz
train_000062,style_000544,style_000959,train,rolls/style_000959/train_000062_X.npz,rolls/style_000959/train_000062_Z.npz,rolls/style_000959/train_000062_Y.npz
train_000063,style_000392,style_000959,train,rolls/style_000959/train_000063_X.npz,rolls/style_000959/train_000063_Z.npz,rolls/style_000959/train_000063_Y.npz
train_000064,style_002660,style_001826,train,rolls/style_001826/train_000064_X.npz,rolls/style_001826/train_000064_Z.npz,rolls/style_001826/train_000064_Y.npz
train_000065,style_000449,style_001826,train,rolls/style_001826/train_000065_X.npz,rolls/style_001826/train_000065_Z.npz,rolls/style_001826/train_000065_Y.npz
train_000066,style_000390,style_002836,train,rolls/style_002836/train_000066_X.npz,rolls/style_002836/train_000066_Z.npz,rolls/style_002836/train_000066_Y.npz
train_000067,style_000205,style_002836,train,rolls/style_002836/train_000067_X.npz,rolls/style_002836/train_000067_Z.npz,rolls/style_002836/train_000067_Y.npz
train_000068,style_000602,style_000558,train,rolls/style_000558/train_000068_X.npz,rolls/style_000558/train_000068_Z.npz,rolls/style_000558/train_000068_Y.npz
train_000069,style_001907,style_000558,train,rolls/style_000558/train_000069_X.npz,rolls/style_000558/train_000069_Z.npz,rolls/style_000558/train_000069_Y.npz
train_000070,style_002097,style_002711,train,rolls/style_002711/train_000070_X.npz,rolls/style_002711/train_000070_Z.npz,rolls/style_002711/train_000070_Y.npz
train_000071,style_000312,style_002711,train,rolls/style_002711/train_000071_X.npz,rolls/style_002711/train_000071_Z.npz,rolls/style_002711/train_000071_Y.npz
train_000072,style_001753,style_000938,train,rolls/style_000938/train_000072_X.npz,rolls/style_000938/train_000072_Z.npz,rolls/style_000938/train_000072_Y.npz
train_000073,style_000472,style_000938,train,rolls/style_000938/train_000073_X.npz,rolls/style_000938/train_000073_Z.npz,rolls/style_000938/train_000073_Y.npz
train_000074,style_000250,style_000667,train,rolls/style_000667/train_000074_X.npz,rolls/style_000667/train_000074_Z.npz,rolls/style_000667/train_000074_Y.npz
train_000075,style_002842,style_000667,train,rolls/style_000667/train_000075_X.npz,rolls/style_000667/train_000075_Z.npz,rolls/style_000667/train_000075_Y.npz
train_000076,style_001402,style_000135,train,rolls/style_000135/train_000076_X.npz,rolls/style_000135/train_000076_Z.npz,rolls/style_000135/train_000076_Y.npz
train_000077,style_001757,style_000135,train,rolls/style_000135/train_000077_X.npz,rolls/style_000135/train_000077_Z.npz,rolls/style_000135/train_000077_Y.npz
train_000078,style_001377,style_000122,train,rolls/style_000122/train_000078_X.npz,rolls/style_000122/train_000078_Z.npz,rolls/style_000122/train_000078_Y.npz
train_000079,style_001471,style_000122,train,rolls/style_000122/train_000079_X.npz,rolls/style_000122/train_000079_Z.npz,rolls/style_000122/train_000079_Y.npz
train_000080,style_000430,style_000679,train,rolls/style_000679/train_000080_X.npz,rolls/style_000679/train_000080_Z.npz,rolls/style_000679/train_000080_Y.npz
train_000081,style_001921,style_000679,train,rolls/style_000679/train_000081_X.npz,rolls/style_000679/train_000081_Z.npz,rolls/style_000679/train_000081_Y.npz
train_000082,style_002214,style_000553,train,rolls/style_000553/train_000082_X.npz,rolls/style_000553/train_000082_Z.npz,rolls/style_000553/train_000082_Y.npz
train_000083,style_002847,style_000553,train,rolls/style_000553/train_000083_X.npz,rolls/style_000553/train_000083_Z.npz,rolls/style_000553/train_000083_Y.npz
train_000084,style_000970,style_001653,train,rolls/style_001653/train_000084_X.npz,rolls/style_001653/train_000084_Z.npz,rolls/style_001653/train_000084_Y.npz
train_000085,style_001140,style_001653,train,rolls/style_001653/train_000085_X.npz,rolls/style_001653/train_000085_Z.npz,rolls/style_001653/train_000085_Y.npz
train_000086,style_000473,style_000763,train,rolls/style_000763/train_000086_X.npz,rolls/style_000763/train_000086_Z.npz,rolls/style_000763/train_000086_Y.npz
train_000087,style_002049,style_000763,train,rolls/style_000763/train_000087_X.npz,rolls/style_000763/train_000087_Z.npz,rolls/style_000763/train_000087_Y.npz
train_000088,style_000129,style_000457,train,rolls/style_000457/train_000088_X.npz,rolls/style_000457/train_000088_Z.npz,rolls/style_000457/train_000088_Y.npz
train_000089,style_000107,style_000457,train,rolls/style_000457/train_000089_X.npz,rolls/style_000457/train_000089_Z.npz,rolls/style_000457/train_000089_Y.npz
train_000090,style_000271,style_002182,train,rolls/style_002182/train_000090_X.npz,rolls/style_002182/train_000090_Z.npz,rolls/style_002182/train_000090_Y.npz
train_000091,style_000903,style_002182,train,rolls/style_002182/train_000091_X.npz,rolls/style_002182/train_000091_Z.npz,rolls/style_002182/train_000091_Y.npz
train_000092,style_000951,style_002108,train,rolls/style_002108/train_000092_X.npz,rolls/style_002108/train_000092_Z.npz,rolls/style_002108/train_000092_Y.npz
train_000093,style_000482,style_002108,train,rolls/style_002108/train_000093_X.npz,rolls/style_002108/train_000093_Z.npz,rolls/style_002108/train_000093_Y.npz
train_000094,style_000822,style_000732,train,rolls/style_000732/train_000094_X.npz,rolls/style_000732/train_000094_Z.npz,rolls/style_000732/train_000094_Y.npz
train_000095,style_002265,style_000732,train,rolls/style_000732/train_000095_X.npz,rolls/style_000732/train_000095_Z.npz,rolls/style_000732/train_000095_Y.npz
train_000096,style_001200,style_000759,train,rolls/style_000759/train_000096_X.npz,rolls/style_000759/train_000096_Z.npz,rolls/style_000759/train_000096_Y.npz
train_000097,style_001428,style_000759,train,rolls/style_000759/train_000097_X.npz,rolls/style_000759/train_000097_Z.npz,rolls/style_000759/train_000097_Y.npz
train_000098,style_001468,style_002408,train,rolls/style_002408/train_000098_X.npz,rolls/style_002408/train_000098_Z.npz,rolls/style_002408/train_000098_Y.npz
train_000099,style_000673,style_002408,train,rolls/style_002408/train_000099_X.npz,rolls/style_002408/train_000099_Z.npz,rolls/style_002408/train_000099_Y.npz
train_000100,style_001834,style_000064,train,rolls/style_000064/train_000100_X.npz,rolls/style_000064/train_000100_Z.npz,rolls/style_000064/train_000100_Y.npz
train_000101,style_002148,style_000064,train,rolls/style_000064/train_000101_X.npz,rolls/style_000064/train_000101_Z.npz,rolls/style_000064/train_000101_Y.npz
train_000102,style_001023,style_002227,train,rolls/style_002227/train_000102_X.npz,rolls/style_002227/train_000102_Z.npz,rolls/style_002227/train_000102_Y.npz
train_000103,style_000611,style_002227,train,rolls/style_002227/train_000103_X.npz,rolls/style_002227/train_000103_Z.npz,rolls/style_002227/train_000103_Y.npz
train_000104,style_000364,style_002756,train,rolls/style_002756/train_000104_X.npz,rolls/style_002756/train_000104_Z.npz,rolls/style_002756/train_000104_Y.npz
train_000105,style_001552,style_002756,train,rolls/style_002756/train_000105_X.npz,rolls/style_002756/train_000105_Z.npz,rolls/style_002756/train_000105_Y.npz
train_000106,style_000096,style_000017,train,rolls/style_000017/train_000106_X.npz,rolls/style_000017/train_000106_Z.npz,rolls/style_000017/train_000106_Y.npz
train_000107,style_002218,style_000017,train,rolls/style_000017/train_000107_X.npz,rolls/style_000017/train_000107_Z.npz,rolls/style_000017/train_000107_Y.npz
train_000108,style_001377,style_001267,train,rolls/style_001267/train_000108_X.npz,rolls/style_001267/train_000108_Z.npz,rolls/style_001267/train_000108_Y.npz
train_000109,style_000422,style_001267,train,rolls/style_001267/train_000109_X.npz,rolls/style_001267/train_000109_Z.npz,rolls/style_001267/train_000109_Y.npz
train_000110,style_000017,style_000479,train,rolls/style_000479/train_000110_X.npz,rolls/style_000479/train_000110_Z.npz,rolls/style_000479/train_000110_Y.npz
train_000111,style_000150,style_000479,train,rolls/style_000479/train_000111_X.npz,rolls/style_000479/train_000111_Z.npz,rolls/style_000479/train_000111_Y.npz
train_000112,style_002679,style_001192,train,rolls/style_001192/train_000112_X.npz,rolls/style_001192/train_000112_Z.npz,rolls/style_001192/train_000112_Y.npz
train_000113,style_001036,style_001192,train,rolls/style_001192/train_000113_X.npz,rolls/style_001192/train_000113_Z.npz,rolls/style_001192/train_000113_Y.npz
train_000114,style_002003,style_000973,train,rolls/style_000973/train_000114_X.npz,rolls/style_000973/train_000114_Z.npz,rolls/style_000973/train_000114_Y.npz
train_000115,style_000057,style_000973,train,rolls/style_000973/train_000115_X.npz,rolls/style_000973/train_000115_Z.npz,rolls/style_000973/train_000115_Y.npz
train_000116,style_001307,style_001393,train,rolls/style_001393/train_000116_X.npz,rolls/style_001393/train_000116_Z.npz,rolls/style_001393/train_000116_Y.npz
train_000117,style_000444,style_001393,train,rolls/style_001393/train_000117_X.npz,rolls/style_001393/train_000117_Z.npz,rolls/style_001393/train_000117_Y.npz
train_000118,style_000559,style_001877,train,rolls/style_001877/train_000118_X.npz,rolls/style_001877/train_000118_Z.npz,rolls/style_001877/train_000118_Y.npz
train_000119,style_002832,style_001877,train,rolls/style_001877/train_000119_X.npz,rolls/style_001877/train_000119_Z.npz,rolls/style_001877/train_000119_Y.npz
train_000120,style_000401,style_000279,train,rolls/style_000279/train_000120_X.npz,rolls/style_000279/train_000120_Z.npz,rolls/style_000279/train_000120_Y.npz
train_000121,style_001796,style_000279,train,rolls/style_000279/train_000121_X.npz,rolls/style_000279/train_000121_Z.npz,rolls/style_000279/train_000121_Y.npz
train_000122,style_002104,style_000671,train,rolls/style_000671/train_000122_X.npz,rolls/style_000671/train_000122_Z.npz,rolls/style_000671/train_000122_Y.npz
train_000123,style_000383,style_000671,train,rolls/style_000671/train_000123_X.npz,rolls/style_000671/train_000123_Z.npz,rolls/style_000671/train_000123_Y.npz
train_000124,style_000906,style_000818,train,rolls/style_000818/train_000124_X.npz,rolls/style_000818/train_000124_Z.npz,rolls/style_000818/train_000124_Y.npz
train_000125,style_000683,style_000818,train,rolls/style_000818/train_000125_X.npz,rolls/style_000818/train_000125_Z.npz,rolls/style_000818/train_000125_Y.npz
train_000126,style_000262,style_002485,train,rolls/style_002485/train_000126_X.npz,rolls/style_002485/train_000126_Z.npz,rolls/style_002485/train_000126_Y.npz
train_000127,style_001856,style_002485,train,rolls/style_002485/train_000127_X.npz,rolls/style_002485/train_000127_Z.npz,rolls/style_002485/train_000127_Y.npz
train_000128,style_000432,style_000708,train,rolls/style_000708/train_000128_X.npz,rolls/style_000708/train_000128_Z.npz,rolls/style_000708/train_000128_Y.npz
train_000129,style_001211,style_000708,train,rolls/style_000708/train_000129_X.npz,rolls/style_000708/train_000129_Z.npz,rolls/style_000708/train_000129_Y.npz
train_000130,style_001050,style_000154,train,rolls/style_000154/train_000130_X.npz,rolls/style_000154/train_000130_Z.npz,rolls/style_000154/train_000130_Y.npz
train_000131,style_002687,style_000154,train,rolls/style_000154/train_000131_X.npz,rolls/style_000154/train_000131_Z.npz,rolls/style_000154/train_000131_Y.npz
train_000132,style_002083,style_001601,train,rolls/style_001601/train_000132_X.npz,rolls/style_001601/train_000132_Z.npz,rolls/style_001601/train_000132_Y.npz
train_000133,style_001494,style_001601,train,rolls/style_001601/train_000133_X.npz,rolls/style_001601/train_000133_Z.npz,rolls/style_001601/train_000133_Y.npz
train_000134,style_001261,style_002580,train,rolls/style_002580/train_000134_X.npz,rolls/style_002580/train_000134_Z.npz,rolls/style_002580/train_000134_Y.npz
train_000135,style_001302,style_002580,train,rolls/style_002580/train_000135_X.npz,rolls/style_002580/train_000135_Z.npz,rolls/style_002580/train_000135_Y.npz
train_000136,style_002008,style_002006,train,rolls/style_002006/train_000136_X.npz,rolls/style_002006/train_000136_Z.npz,rolls/style_002006/train_000136_Y.npz
train_000137,style_001368,style_002006,train,rolls/style_002006/train_000137_X.npz,rolls/style_002006/train_000137_Z.npz,rolls/style_002006/train_000137_Y.npz
train_000138,style_002202,style_001355,train,rolls/style_001355/train_000138_X.npz,rolls/style_001355/train_000138_Z.npz,rolls/style_001355/train_000138_Y.npz
train_000139,style_001705,style_001355,train,rolls/style_001355/train_000139_X.npz,rolls/style_001355/train_000139_Z.npz,rolls/style_001355/train_000139_Y.npz
train_000140,style_002058,style_000253,train,rolls/style_000253/train_000140_X.npz,rolls/style_000253/train_000140_Z.npz,rolls/style_000253/train_000140_Y.npz
train_000141,style_001872,style_000253,train,rolls/style_000253/train_000141_X.npz,rolls/style_000253/train_000141_Z.npz,rolls/style_000253/train_000141_Y.npz
train_000142,style_002613,style_001774,train,rolls/style_001774/train_000142_X.npz,rolls/style_001774/train_000142_Z.npz,rolls/style_001774/train_000142_Y.npz
train_000143,style_000837,style_001774,train,rolls/style_001774/train_000143_X.npz,rolls/style_001774/train_000143_Z.npz,rolls/style_001774/train_000143_Y.npz
train_000144,style_000540,style_000703,train,rolls/style_000703/train_000144_X.npz,rolls/style_000703/train_000144_Z.npz,rolls/style_000703/train_000144_Y.npz
train_000145,style_000932,style_000703,train,rolls/style_000703/train_000145_X.npz,rolls/style_000703/train_000145_Z.npz,rolls/style_000703/train_000145_Y.npz
train_000146,style_001408,style_000972,train,rolls/style_000972/train_000146_X.npz,rolls/style_000972/train_000146_Z.npz,rolls/style_000972/train_000146_Y.npz
train_000147,style_001367,style_000972,train,rolls/style_000972/train_000147_X.npz,rolls/style_000972/train_000147_Z.npz,rolls/style_000972/train_000147_Y.npz
train_000148,style_001542,style_002543,train,rolls/style_002543/train_000148_X.npz,rolls/style_002543/train_000148_Z.npz,rolls/style_002543/train_000148_Y.npz
train_000149,style_001559,style_002543,train,rolls/style_002543/train_000149_X.npz,rolls/style_002543/train_000149_Z.npz,rolls/style_002543/train_000149_Y.npz
train_000150,style_000273,style_000727,train,rolls/style_000727/train_000150_X.npz,rolls/style_000727/train_000150_Z.npz,rolls/style_000727/train_000150_Y.npz
train_000151,style_000487,style_000727,train,rolls/style_000727/train_000151_X.npz,rolls/style_000727/train_000151_Z.npz,rolls/style_000727/train_000151_Y.npz
train_000152,style_000576,style_001388,train,rolls/style_001388/train_000152_X.npz,rolls/style_001388/train_000152_Z.npz,rolls/style_001388/train_000152_Y.npz
train_000153,style_000255,style_001388,train,rolls/style_001388/train_000153_X.npz,rolls/style_001388/train_000153_Z.npz,rolls/style_001388/train_000153_Y.npz
train_000154,style_002540,style_002573,train,rolls/style_002573/train_000154_X.npz,rolls/style_002573/train_000154_Z.npz,rolls/style_002573/train_000154_Y.npz
train_000155,style_002709,style_002573,train,rolls/style_002573/train_000155_X.npz,rolls/style_002573/train_000155_Z.npz,rolls/style_002573/train_000155_Y.npz
train_000156,style_000648,style_002715,train,rolls/style_002715/train_000156_X.npz,rolls/style_002715/train_000156_Z.npz,rolls/style_002715/train_000156_Y.npz
train_000157,style_002328,style_002715,train,rolls/style_002715/train_000157_X.npz,rolls/style_002715/train_000157_Z.npz,rolls/style_002715/train_000157_Y.npz
train_000158,style_002303,style_001657,train,rolls/style_001657/train_000158_X.npz,rolls/style_001657/train_000158_Z.npz,rolls/style_001657/train_000158_Y.npz
train_000159,style_000319,style_001657,train,rolls/style_001657/train_000159_X.npz,rolls/style_001657/train_000159_Z.npz,rolls/style_001657/train_000159_Y.npz
train_000160,style_001828,style_001450,train,rolls/style_001450/train_000160_X.npz,rolls/style_001450/train_000160_Z.npz,rolls/style_001450/train_000160_Y.npz
train_000161,style_001586,style_001450,train,rolls/style_001450/train_000161_X.npz,rolls/style_001450/train_000161_Z.npz,rolls/style_001450/train_000161_Y.npz
train_000162,style_001651,style_001721,train,rolls/style_001721/train_000162_X.npz,rolls/style_001721/train_000162_Z.npz,rolls/style_001721/train_000162_Y.npz
train_000163,style_002081,style_001721,train,rolls/style_001721/train_000163_X.npz,rolls/style_001721/train_000163_Z.npz,rolls/style_001721/train_000163_Y.npz
train_000164,style_000522,style_000833,train,rolls/style_000833/train_000164_X.npz,rolls/style_000833/train_000164_Z.npz,rolls/style_000833/train_000164_Y.npz
train_000165,style_002361,style_000833,train,rolls/style_000833/train_000165_X.npz,rolls/style_000833/train_000165_Z.npz,rolls/style_000833/train_000165_Y.npz
train_000166,style_000788,style_000037,train,rolls/style_000037/train_000166_X.npz,rolls/style_000037/train_000166_Z.npz,rolls/style_000037/train_000166_Y.npz
train_000167,style_000215,style_000037,train,rolls/style_000037/train_000167_X.npz,rolls/style_000037/train_000167_Z.npz,rolls/style_000037/train_000167_Y.npz
train_000168,style_000573,style_002439,train,rolls/style_002439/train_000168_X.npz,rolls/style_002439/train_000168_Z.npz,rolls/style_002439/train_000168_Y.npz
train_000169,style_001485,style_002439,train,rolls/style_002439/train_000169_X.npz,rolls/style_002439/train_000169_Z.npz,rolls/style_002439/train_000169_Y.npz
train_000170,style_002080,style_002161,train,rolls/style_002161/train_000170_X.npz,rolls/style_002161/train_000170_Z.npz,rolls/style_002161/train_000170_Y.npz
train_000171,style_002500,style_002161,train,rolls/style_002161/train_000171_X.npz,rolls/style_002161/train_000171_Z.npz,rolls/style_002161/train_000171_Y.npz
train_000172,style_001423,style_002066,train,rolls/style_002066/train_000172_X.npz,rolls/style_002066/train_000172_Z.npz,rolls/style_002066/train_000172_Y.npz
train_000173,style_000945,style_002066,train,rolls/style_002066/train_000173_X.npz,rolls/style_002066/train_000173_Z.npz,rolls/style_002066/train_000173_Y.npz
train_000174,style_000275,style_000301,train,rolls/style_000301/train_000174_X.npz,rolls/style_000301/train_000174_Z.npz,rolls/style_000301/train_000174_Y.npz
train_000175,style_002166,style_000301,train,rolls/style_000301/train_000175_X.npz,rolls/style_000301/train_000175_Z.npz,rolls/style_000301/train_000175_Y.npz
train_000176,style_001961,style_002502,train,rolls/style_002502/train_000176_X.npz,rolls/style_002502/train_000176_Z.npz,rolls/style_002502/train_000176_Y.npz
train_000177,style_002181,style_002502,train,rolls/style_002502/train_000177_X.npz,rolls/style_002502/train_000177_Z.npz,rolls/style_002502/train_000177_Y.npz
train_000178,style_002627,style_002791,train,rolls/style_002791/train_000178_X.npz,rolls/style_002791/train_000178_Z.npz,rolls/style_002791/train_000178_Y.npz
train_000179,style_000283,style_002791,train,rolls/style_002791/train_000179_X.npz,rolls/style_002791/train_000179_Z.npz,rolls/style_002791/train_000179_Y.npz
train_000180,style_000245,style_002570,train,rolls/style_002570/train_000180_X.npz,rolls/style_002570/train_000180_Z.npz,rolls/style_002570/train_000180_Y.npz
train_000181,style_002761,style_002570,train,rolls/style_002570/train_000181_X.npz,rolls/style_002570/train_000181_Z.npz,rolls/style_002570/train_000181_Y.npz
train_000182,style_000196,style_000681,train,rolls/style_000681/train_000182_X.npz,rolls/style_000681/train_000182_Z.npz,rolls/style_000681/train_000182_Y.npz
